epoch,temp,humid
23,0.0100717,0.0141761
24,0.0060432,0.0092453
25,0.0030218,0.0036979
26,0.0030212,0.0036979
27,0.0060428,0.0036979
28,0.0050354,0.0036979
29,0.0050361,0.0036979
30,0.0060424,0.0036979
31,0.0040287,0.0036979
32,0.0060428,0.0036979
33,0.0050357,0.0036979
34,0.0070499,0.0036979
35,0.0080574,0.0036979
36,0.0050357,0.0036979
37,0.0070495,0.0036979
38,0.008057,0.0036979
39,0.006043,0.0036979
40,0.0030214,0.0036979
41,0.0171215,0.0036979
42,0.0030216,0.0036979
43,0.0060432,0.0036979
44,0.0,0.0110942
45,0.0030216,0.0086288
46,0.0070499,0.0135597
47,0.0060432,0.0049308
48,0.0040287,0.0086288
49,0.0070499,0.0098617
50,0.0050357,0.0049308
51,0.0070503,0.0049308
52,0.0040283,0.0049308
53,0.0030216,0.0086288
54,0.0050354,0.0086288
55,0.0050357,0.0036979
56,0.0060428,0.0036979
57,0.0050357,0.0036979
58,0.0050357,0.0036979
59,0.0060428,0.0036979
60,0.0050357,0.0036979
61,0.0070499,0.0061634
62,0.0030212,0.0036979
63,0.0060424,0.0036979
64,0.0070507,0.0036979
65,0.004029,0.0036979
66,0.0060432,0.0036979
67,0.0030216,0.0110939
68,0.0070503,0.0055469
69,0.0060436,0.0036979
70,0.0070508,0.0073963
71,0.0070501,0.0036983
72,0.0050363,0.0036983
73,0.0070508,0.0036983
74,0.004029,0.0036983
75,0.0080574,0.0036983
76,0.0060428,0.0036983
77,0.0080574,0.0036983
78,0.004029,0.0036983
79,0.008057,0.0036983
80,0.0020145,0.0036983
81,0.0020145,0.0036983
82,0.0020145,0.0036983
83,0.0060428,0.0036983
84,0.0020145,0.0036983
85,0.0060432,0.0036983
86,0.0020145,0.0036983
87,0.0060432,0.0036983
88,0.0020145,0.0036983
89,0.0100719,0.0073966
90,0.0080574,0.0080125
91,0.0060436,0.0061634
92,0.0060428,0.0061634
93,0.0050363,0.0061634
