epoch,temp,humid
71,0.0110782,0.0135597
72,0.0100715,0.0036979
73,0.0181285,0.0036979
74,0.0070499,0.0110942
75,0.0130928,0.0049308
76,0.0070499,0.0049308
77,0.0090641,0.0049308
78,0.008057,0.0123271
79,0.0110786,0.0135597
80,0.0090641,0.0110942
81,0.0050357,0.0049308
82,0.0030212,0.0024654
83,0.0100711,0.0036979
84,0.0080574,0.0036979
85,0.0110786,0.0073959
86,0.0171213,0.0036979
87,0.0100715,0.0036979
88,0.0050355,0.0036979
89,0.008057,0.0036979
90,0.0060424,0.0036979
91,0.0040283,0.0036979
92,0.0110786,0.0036979
93,0.0100711,0.0061634
94,0.0070499,0.0147926
95,0.0020141,0.0049308
96,0.0130928,0.0049308
97,0.0030212,0.0061634
98,0.0060424,0.0036979
99,0.008057,0.0036979
100,0.0120853,0.0061634
101,0.0060424,0.0098617
102,0.0040283,0.0135597
103,0.0040283,0.0110942
104,0.0090641,0.0036979
105,0.0070495,0.0036979
106,0.0040283,0.0036979
107,0.0070499,0.0036979
108,0.008057,0.0036979
109,0.001007,0.0036979
110,0.0060424,0.0024654
111,0.008057,0.0086288
112,0.0070495,0.0098617
113,0.0030212,0.0086288
114,0.0090641,0.0049308
115,0.0070499,0.0049308
116,0.0120853,0.0049308
117,0.0070499,0.0049308
118,0.008057,0.0098617
119,0.0090641,0.0135597
120,0.0070495,0.0073963
121,0.0060428,0.0086288
122,0.0130931,0.0086288
123,0.0110784,0.0110942
124,0.0060426,0.0086288
125,0.0070499,0.0135597
126,0.0070495,0.0049308
127,0.0060424,0.0073963
128,0.008057,0.0036979
129,0.0100713,0.0061634
130,0.0100717,0.0073963
131,0.0100715,0.0036979
132,0.0080572,0.0036979
133,0.006043,0.0036979
134,0.008057,0.0036979
135,0.0120859,0.0036979
136,0.006043,0.0073959
137,0.0120861,0.0036979
138,0.0141002,0.0036979
139,0.008057,0.0073959
140,0.0120857,0.0036979
141,0.0070499,0.0036979
142,0.0070495,0.0036979
143,0.0060428,0.0073959
144,0.0060428,0.0036979
145,0.0070499,0.0036979
146,0.0030212,0.0036979
147,0.008057,0.0036979
148,0.0070499,0.0036979
149,0.0030212,0.0036979
150,0.0090644,0.0036979
151,0.0161144,0.0036979
152,0.0110786,0.0036979
153,0.0020141,0.0036979
154,0.0100715,0.0036979
155,0.0130928,0.0036979
156,0.0030212,0.0036979
157,0.0100715,0.0036979
158,0.0211502,0.0036979
159,0.0110786,0.0036979
160,0.0090644,0.0036979
161,0.0090641,0.0036979
162,0.0090641,0.0
163,0.0030212,0.0
164,0.0090644,0.0036979
165,0.0130931,0.0036979
